state,isin,qty,label,name,issuer,country,instr_type,rating,type,ccy,dirty_price,hc,mv_pre,mv
trac,FR0123456,100000000,TRAC,BNP Paribas 4.500% 2030,BNP PARIBAS SA,FR,Bond,A+,Snr Preferred,EUR,101.42,0.95,101420000,96349000
trac,XS3417766,5000000,TRAC,Barclays 3.750% 2027,BARCLAYS PLC,GB,MTN,A,Snr Non-Pref,GBP,94.47,0.98,4723500,4629030
trac,FR7318822,5000000,TRAC,BNP Paribas 5.500% 2027,BNP PARIBAS SA,FR,FRN,A+,Snr Unsecured,EUR,96.51,0.98,4825500,4728990
edit,CA1485136,250000,TRAC,Royal Bank of Canada 4.000% 2027,ROYAL BANK OF CANADA,CA,Bond,BBB,Snr Non-Pref,USD,95.25,0.925,238125,220266
trac,ES9650542,1000000,TRAC,Santander 3.125% 2027,BANCO SANTANDER SA,ES,MTN,A-,Tier 2,EUR,93.22,0.95,932200,885590
trac,ES3095354,1000000,TRAC,Iberdrola 5.125% 2029,IBERDROLA SA,ES,MTN,A-,Snr Unsecured,EUR,94.63,0.85,946300,804355
edit,US6412488,2500000,TRAC,JPMorgan 4.500% 2033,JPMORGAN CHASE & CO,US,MTN,BBB+,Snr Preferred,USD,94.58,0.85,2364500,2009825
trac,DE8330980,5000000,TRAC,Allianz 4.000% 2033,ALLIANZ SE,DE,FRN,A,Snr Non-Pref,EUR,105.52,0.98,5276000,5170480
edit,IT3213899,500000,TRAC,UniCredit 4.500% 2033,UNICREDIT SPA,IT,FRN,BBB-,Snr Unsecured,EUR,103.36,0.875,516800,452200
trac,US3841913,5000000,TRAC,Citigroup 5.500% 2032,CITIGROUP INC,US,FRN,BBB+,Covered,USD,100.5,0.98,5025000,4924500
trac,NL6715840,5000000,TRAC,ING Groep 4.500% 2033,ING GROEP NV,NL,FRN,A+,Snr Unsecured,EUR,103.21,0.85,5160500,4386425
add,US1242356,100000,SUB IN,JPMorgan 5.125% 2031,JPMORGAN CHASE & CO,US,MTN,A-,Snr Unsecured,USD,102.18,0.925,102180,94516
