state,isin,qty,label,name,issuer,country,instr_type,rating,type,ccy,dirty_price,hc,mv_pre,mv
trac,NL2615783,2500000,TRAC,ING Groep 3.750% 2033,ING GROEP NV,NL,MTN,A-,Snr Non-Pref,EUR,92.16,0.925,2304000,2131200
trac,XS3421287,250000,TRAC,Barclays 5.125% 2029,BARCLAYS PLC,GB,Bond,BBB-,Snr Unsecured,GBP,103.23,0.925,258075,238719
trac,NL1174773,1000000,TRAC,Ahold Delhaize 3.750% 2034,KONINKLIJKE AHOLD NV,NL,Bond,AA-,Covered,EUR,100.75,0.875,1007500,881562
trac,XS9171686,250000,TRAC,Barclays 4.000% 2031,BARCLAYS PLC,GB,FRN,A-,Snr Preferred,GBP,101.3,0.875,253250,221594
trac,NO8105209,250000,TRAC,DNB Bank 5.125% 2031,DNB BANK ASA,NO,MTN,AA-,Tier 2,EUR,95.84,0.9,239600,215640
trac,NO8807312,2500000,TRAC,DNB Bank 3.750% 2034,DNB BANK ASA,NO,FRN,BBB-,Snr Non-Pref,EUR,96.78,0.925,2419500,2238038
trac,NL5355144,1000000,TRAC,ING Groep 3.125% 2029,ING GROEP NV,NL,Bond,AA-,Snr Unsecured,EUR,98.05,0.95,980500,931475
trac,FR5424916,500000,TRAC,Credit Agricole 3.750% 2032,CREDIT AGRICOLE SA,FR,Bond,A,Covered,EUR,97.67,0.9,488350,439515
trac,NL5221034,500000,TRAC,Ahold Delhaize 4.000% 2032,KONINKLIJKE AHOLD NV,NL,Bond,A,Snr Preferred,EUR,101.52,0.98,507600,497448
trac,US4044547,1000000,TRAC,Morgan Stanley 4.500% 2028,MORGAN STANLEY,US,FRN,AA-,Snr Preferred,USD,98.59,0.925,985900,911958
trac,DE2995908,1000000,TRAC,Deutsche Bank 4.500% 2028,DEUTSCHE BANK AG,DE,MTN,A,Snr Non-Pref,EUR,103.3,0.85,1033000,878050
trac,FI3360332,2500000,TRAC,Nordea Bank 5.500% 2034,NORDEA BANK ABP,FI,Bond,BBB+,Snr Preferred,EUR,98.33,0.85,2458250,2089512
trac,IT9564139,5000000,TRAC,Enel 3.125% 2029,ENEL SPA,IT,FRN,BBB,Tier 2,EUR,98.66,0.95,4933000,4686350
trac,NL9485402,2500000,TRAC,ING Groep 3.125% 2031,ING GROEP NV,NL,FRN,BBB-,Snr Non-Pref,EUR,101.42,0.95,2535500,2408725
trac,IT3355076,2500000,TRAC,Enel 4.000% 2033,ENEL SPA,IT,FRN,BBB+,Snr Preferred,EUR,91.7,0.875,2292500,2005938
trac,SE4348578,5000000,TRAC,Handelsbanken 4.000% 2029,SVENSKA HANDELSBANKEN,SE,Bond,BBB-,Snr Unsecured,EUR,97.84,0.925,4892000,4525100
trac,DE3055658,250000,TRAC,Commerzbank 4.500% 2030,COMMERZBANK AG,DE,MTN,A,Snr Preferred,EUR,107.09,0.875,267725,234259
trac,US4756782,500000,TRAC,Bank of America 4.000% 2027,BANK OF AMERICA CORP,US,FRN,A-,Tier 2,USD,100.81,0.85,504050,428442
trac,US1384946,2500000,TRAC,JPMorgan 4.500% 2028,JPMORGAN CHASE & CO,US,Bond,A+,Snr Unsecured,USD,106.17,0.95,2654250,2521538
trac,IT1332266,1000000,TRAC,UniCredit 4.500% 2030,UNICREDIT SPA,IT,Bond,AA-,Covered,EUR,91.44,0.98,914400,896112
trac,US7703068,250000,TRAC,Morgan Stanley 4.500% 2027,MORGAN STANLEY,US,MTN,BBB+,Snr Unsecured,USD,103.64,0.95,259100,246145
trac,SE2242178,250000,TRAC,Handelsbanken 3.750% 2032,SVENSKA HANDELSBANKEN,SE,FRN,BBB-,Covered,EUR,104.22,0.925,260550,241009
trac,US6640430,250000,TRAC,Bank of America 5.500% 2027,BANK OF AMERICA CORP,US,FRN,AA-,Snr Non-Pref,USD,94.18,0.9,235450,211905
trac,US8273139,500000,TRAC,Bank of America 3.750% 2030,BANK OF AMERICA CORP,US,FRN,A-,Covered,USD,102.54,0.875,512700,448612
edit,XS7550632,500000,TRAC,Barclays 4.500% 2033,BARCLAYS PLC,GB,Bond,A,Snr Unsecured,GBP,99.65,0.98,498250,488285
trac,NL5953643,2500000,TRAC,ING Groep 3.750% 2027,ING GROEP NV,NL,MTN,BBB+,Snr Non-Pref,EUR,101.79,0.9,2544750,2290275
trac,FI7123182,2500000,TRAC,Nordea Bank 5.125% 2034,NORDEA BANK ABP,FI,MTN,BBB+,Tier 2,EUR,103.88,0.9,2597000,2337300
trac,XS7702179,5000000,TRAC,Barclays 5.500% 2033,BARCLAYS PLC,GB,MTN,A,Snr Preferred,GBP,98.77,0.9,4938500,4444650
trac,FR2610531,2500000,TRAC,Societe Generale 4.500% 2033,SOCIETE GENERALE SA,FR,Bond,A-,Snr Non-Pref,EUR,97.71,0.925,2442750,2259544
edit,NO4481137,5000000,TRAC,DNB Bank 4.000% 2032,DNB BANK ASA,NO,Bond,A+,Snr Non-Pref,EUR,95.77,0.85,4788500,4070225
add,NL3623987,500000,SUB IN,Ahold Delhaize 3.125% 2031,KONINKLIJKE AHOLD NV,NL,Bond,BBB+,Snr Unsecured,EUR,101.69,0.95,508450,483028
