state,isin,qty,label,name,issuer,country,instr_type,rating,type,ccy,dirty_price,hc,mv_pre,mv
trac,US9412222,2500000,TRAC,Morgan Stanley 4.000% 2032,MORGAN STANLEY,US,Bond,AA-,Snr Unsecured,USD,93.27,0.925,2331750,2156869
trac,DE3229676,500000,TRAC,Allianz 5.125% 2033,ALLIANZ SE,DE,Bond,A,Snr Unsecured,EUR,100.57,0.95,502850,477708
edit,DE5930244,1000000,TRAC,Allianz 4.500% 2033,ALLIANZ SE,DE,MTN,A-,Snr Unsecured,EUR,95.51,0.875,955100,835712
trac,FI3242950,2500000,TRAC,Nordea Bank 3.750% 2028,NORDEA BANK ABP,FI,Bond,BBB,Snr Unsecured,EUR,101.16,0.95,2529000,2402550
trac,US2468144,1000000,TRAC,Citigroup 5.125% 2034,CITIGROUP INC,US,FRN,A-,Snr Unsecured,USD,99.01,0.875,990100,866338
trac,US9885951,5000000,TRAC,Morgan Stanley 5.125% 2028,MORGAN STANLEY,US,FRN,BBB-,Snr Unsecured,USD,106.2,0.95,5310000,5044500
trac,SE7343487,1000000,TRAC,Handelsbanken 4.000% 2030,SVENSKA HANDELSBANKEN,SE,Bond,BBB-,Snr Non-Pref,EUR,103.31,0.85,1033100,878135
trac,XS3066988,500000,TRAC,HSBC Holdings 3.125% 2027,HSBC HOLDINGS PLC,GB,Bond,BBB+,Snr Preferred,GBP,93.77,0.98,468850,459473
trac,US1532196,1000000,TRAC,Goldman Sachs 4.000% 2027,GOLDMAN SACHS GROUP,US,Bond,BBB,Snr Unsecured,USD,99.62,0.95,996200,946390
trac,IT6504282,250000,TRAC,Enel 4.000% 2034,ENEL SPA,IT,FRN,A-,Tier 2,EUR,96.63,0.875,241575,211378
trac,FR3513975,1000000,TRAC,Societe Generale 5.500% 2027,SOCIETE GENERALE SA,FR,Bond,BBB,Snr Preferred,EUR,104.3,0.85,1043000,886550
trac,FI3027719,2500000,TRAC,Nordea Bank 3.125% 2029,NORDEA BANK ABP,FI,MTN,BBB+,Snr Preferred,EUR,91.65,0.98,2291250,2245425
