state,isin,qty,label,name,issuer,country,instr_type,rating,type,ccy,dirty_price,hc,mv_pre,mv
trac,DE5123091,250000,TRAC,Commerzbank 4.000% 2027,COMMERZBANK AG,DE,FRN,BBB-,Snr Preferred,EUR,103.55,0.95,258875,245931
trac,DE7842077,1000000,TRAC,Allianz 5.125% 2033,ALLIANZ SE,DE,Bond,A,Snr Non-Pref,EUR,106.3,0.925,1063000,983275
trac,US4232266,250000,TRAC,Morgan Stanley 5.500% 2034,MORGAN STANLEY,US,Bond,AA-,Snr Preferred,USD,99.14,0.925,247850,229261
trac,US2939410,5000000,TRAC,Morgan Stanley 4.000% 2031,MORGAN STANLEY,US,FRN,BBB-,Covered,USD,100.63,0.875,5031500,4402562
trac,US4693601,500000,TRAC,Goldman Sachs 3.750% 2029,GOLDMAN SACHS GROUP,US,FRN,A+,Snr Non-Pref,USD,99.91,0.98,499550,489559
edit,CA7943323,2500000,TRAC,Royal Bank of Canada 5.125% 2031,ROYAL BANK OF CANADA,CA,Bond,A+,Covered,USD,94.85,0.925,2371250,2193406
trac,SE9018132,1000000,TRAC,Handelsbanken 5.500% 2029,SVENSKA HANDELSBANKEN,SE,MTN,A+,Snr Preferred,EUR,95.04,0.98,950400,931392
trac,FR7032950,1000000,TRAC,Credit Agricole 4.000% 2033,CREDIT AGRICOLE SA,FR,Bond,BBB,Snr Preferred,EUR,99.25,0.95,992500,942875
trac,NL9466774,2500000,TRAC,ING Groep 5.500% 2031,ING GROEP NV,NL,MTN,A+,Snr Preferred,EUR,106.72,0.95,2668000,2534600
trac,XS5788966,1000000,TRAC,NatWest Group 5.500% 2028,NATWEST GROUP PLC,GB,Bond,BBB-,Tier 2,GBP,103.92,0.9,1039200,935280
trac,US7638118,500000,TRAC,Morgan Stanley 3.125% 2030,MORGAN STANLEY,US,Bond,AA-,Snr Unsecured,USD,101.4,0.875,507000,443625
trac,FI6714639,2500000,TRAC,Nordea Bank 5.125% 2028,NORDEA BANK ABP,FI,FRN,A,Tier 2,EUR,95.01,0.85,2375250,2018962
trac,FR4427601,500000,TRAC,Credit Agricole 5.125% 2031,CREDIT AGRICOLE SA,FR,FRN,A+,Snr Unsecured,EUR,93.56,0.98,467800,458444
edit,US3381986,5000000,TRAC,Verizon 4.500% 2029,VERIZON COMMUNICATIONS,US,Bond,BBB-,Tier 2,USD,93.16,0.9,4658000,4192200
trac,FR2452399,250000,TRAC,Societe Generale 4.500% 2034,SOCIETE GENERALE SA,FR,FRN,BBB+,Covered,EUR,97.63,0.98,244075,239194
trac,US5275739,500000,TRAC,Citigroup 5.500% 2033,CITIGROUP INC,US,MTN,BBB+,Covered,USD,98.68,0.85,493400,419390
edit,US2042323,250000,TRAC,Morgan Stanley 4.500% 2032,MORGAN STANLEY,US,Bond,AA-,Snr Unsecured,USD,100.77,0.85,251925,214136
add,DE2848564,250000,SUB IN,Commerzbank 5.500% 2027,COMMERZBANK AG,DE,Bond,BBB-,Snr Non-Pref,EUR,92.45,0.98,231125,226502
