state,isin,qty,label,name,issuer,country,instr_type,rating,type,ccy,dirty_price,hc,mv_pre,mv
trac,FR2141820,1000000,TRAC,Credit Agricole 5.500% 2033,CREDIT AGRICOLE SA,FR,Bond,A,Snr Preferred,EUR,96.42,0.98,964200,944916
trac,US3119114,5000000,TRAC,Citigroup 3.125% 2027,CITIGROUP INC,US,FRN,BBB-,Snr Unsecured,USD,105.24,0.875,5262000,4604250
trac,DE6519072,5000000,TRAC,Commerzbank 4.000% 2031,COMMERZBANK AG,DE,Bond,A+,Snr Preferred,EUR,104.17,0.95,5208500,4948075
trac,NL6208709,2500000,TRAC,Ahold Delhaize 5.500% 2031,KONINKLIJKE AHOLD NV,NL,MTN,BBB+,Snr Preferred,EUR,101.9,0.85,2547500,2165375
trac,US3750380,5000000,TRAC,Verizon 4.000% 2027,VERIZON COMMUNICATIONS,US,Bond,BBB,Snr Non-Pref,USD,93.58,0.85,4679000,3977150
trac,NO6966742,1000000,TRAC,DNB Bank 5.500% 2027,DNB BANK ASA,NO,Bond,BBB,Tier 2,EUR,106.02,0.85,1060200,901170
trac,CA2707565,1000000,TRAC,Royal Bank of Canada 3.750% 2030,ROYAL BANK OF CANADA,CA,Bond,A-,Covered,USD,100.99,0.85,1009900,858415
trac,ES6603383,5000000,TRAC,Iberdrola 3.750% 2034,IBERDROLA SA,ES,MTN,A,Snr Preferred,EUR,93.5,0.925,4675000,4324375
trac,DE6649621,2500000,TRAC,Commerzbank 5.500% 2027,COMMERZBANK AG,DE,Bond,A+,Snr Unsecured,EUR,106.89,0.9,2672250,2405025
trac,US8346796,2500000,TRAC,Goldman Sachs 4.500% 2034,GOLDMAN SACHS GROUP,US,FRN,BBB+,Covered,USD,106.43,0.98,2660750,2607535
trac,US4892218,5000000,TRAC,Verizon 3.750% 2028,VERIZON COMMUNICATIONS,US,Bond,BBB+,Covered,USD,97.73,0.85,4886500,4153525
trac,DE6800061,5000000,TRAC,Deutsche Bank 3.750% 2031,DEUTSCHE BANK AG,DE,FRN,BBB,Snr Non-Pref,EUR,103.34,0.98,5167000,5063660
trac,FI7473388,5000000,TRAC,Nordea Bank 5.125% 2031,NORDEA BANK ABP,FI,FRN,AA-,Snr Preferred,EUR,96.46,0.875,4823000,4220125
trac,US5644587,250000,TRAC,Verizon 5.125% 2034,VERIZON COMMUNICATIONS,US,Bond,BBB+,Covered,USD,100.35,0.9,250875,225788
trac,US9048888,2500000,TRAC,Goldman Sachs 5.500% 2034,GOLDMAN SACHS GROUP,US,MTN,BBB,Tier 2,USD,100.45,0.98,2511250,2461025
trac,XS8954458,1000000,TRAC,NatWest Group 4.000% 2027,NATWEST GROUP PLC,GB,MTN,A-,Snr Preferred,GBP,94.58,0.875,945800,827575
trac,XS2511084,2500000,TRAC,Barclays 5.500% 2032,BARCLAYS PLC,GB,FRN,A,Snr Unsecured,GBP,100.72,0.85,2518000,2140300
trac,DE8066408,5000000,TRAC,Commerzbank 4.500% 2032,COMMERZBANK AG,DE,Bond,A+,Covered,EUR,106.08,0.98,5304000,5197920
trac,DE7687601,5000000,TRAC,Commerzbank 5.500% 2032,COMMERZBANK AG,DE,FRN,A,Tier 2,EUR,101.43,0.875,5071500,4437562
trac,US6578759,1000000,TRAC,JPMorgan 4.500% 2032,JPMORGAN CHASE & CO,US,FRN,BBB-,Covered,USD,97.02,0.875,970200,848925
trac,XS1480204,2500000,TRAC,Barclays 5.500% 2028,BARCLAYS PLC,GB,MTN,A-,Snr Unsecured,GBP,104.33,0.98,2608250,2556085
trac,NL6177120,500000,TRAC,Ahold Delhaize 4.000% 2029,KONINKLIJKE AHOLD NV,NL,FRN,A+,Snr Preferred,EUR,98.14,0.98,490700,480886
trac,US6033855,500000,TRAC,Goldman Sachs 4.000% 2032,GOLDMAN SACHS GROUP,US,Bond,BBB-,Tier 2,USD,105.66,0.875,528300,462262
trac,NL9441910,1000000,TRAC,Ahold Delhaize 5.125% 2029,KONINKLIJKE AHOLD NV,NL,MTN,BBB,Covered,EUR,101.95,0.925,1019500,943038
