state,isin,qty,label,name,issuer,country,instr_type,rating,type,ccy,dirty_price,hc,mv_pre,mv
trac,FR0123456,100000000,TRAC,BNP Paribas 4.500% 2030,BNP PARIBAS SA,FR,Bond,A+,Snr Preferred,EUR,100.87,0.95,100870000,95826500
trac,XS3417766,5000000,TRAC,Barclays 3.750% 2027,BARCLAYS PLC,GB,MTN,A,Snr Non-Pref,GBP,94.5,0.98,4725000,4630500
trac,FR7318822,5000000,TRAC,BNP Paribas 5.500% 2027,BNP PARIBAS SA,FR,FRN,A+,Snr Unsecured,EUR,98.0,0.98,4900000,4802000
trac,CA1485136,5000000,TRAC,Royal Bank of Canada 4.000% 2027,ROYAL BANK OF CANADA,CA,Bond,BBB,Snr Non-Pref,USD,93.26,0.925,4663000,4313275
trac,ES9650542,1000000,TRAC,Santander 3.125% 2027,BANCO SANTANDER SA,ES,MTN,A-,Tier 2,EUR,94.92,0.95,949200,901740
trac,ES3095354,1000000,TRAC,Iberdrola 5.125% 2029,IBERDROLA SA,ES,MTN,A-,Snr Unsecured,EUR,95.56,0.85,955600,812260
trac,US6412488,250000,TRAC,JPMorgan 4.500% 2033,JPMORGAN CHASE & CO,US,MTN,BBB+,Snr Preferred,USD,97.37,0.85,243425,206911
trac,DE8330980,5000000,TRAC,Allianz 4.000% 2033,ALLIANZ SE,DE,FRN,A,Snr Non-Pref,EUR,106.43,0.98,5321500,5215070
trac,IT3213899,1000000,TRAC,UniCredit 4.500% 2033,UNICREDIT SPA,IT,FRN,BBB-,Snr Unsecured,EUR,101.59,0.875,1015900,888912
trac,US3841913,5000000,TRAC,Citigroup 5.500% 2032,CITIGROUP INC,US,FRN,BBB+,Covered,USD,97.5,0.98,4875000,4777500
trac,NL6715840,5000000,TRAC,ING Groep 4.500% 2033,ING GROEP NV,NL,FRN,A+,Snr Unsecured,EUR,103.39,0.85,5169500,4394075
trac,XS0014578,100000,TRAC,Deutsche Bank 3.750% 2028,DEUTSCHE BANK AG,DE,Bond,BBB+,Snr Non-Pref,EUR,99.1,0.9,99100,89190
