state,isin,qty,label,name,issuer,country,instr_type,rating,type,ccy,dirty_price,hc,mv_pre,mv
trac,NL2615783,2500000,TRAC,ING Groep 3.750% 2033,ING GROEP NV,NL,MTN,A-,Snr Non-Pref,EUR,93.68,0.925,2342000,2166350
trac,XS3421287,250000,TRAC,Barclays 5.125% 2029,BARCLAYS PLC,GB,Bond,BBB-,Snr Unsecured,GBP,105.59,0.925,263975,244177
trac,NL1174773,1000000,TRAC,Ahold Delhaize 3.750% 2034,KONINKLIJKE AHOLD NV,NL,Bond,AA-,Covered,EUR,101.17,0.875,1011700,885238
trac,XS9171686,250000,TRAC,Barclays 4.000% 2031,BARCLAYS PLC,GB,FRN,A-,Snr Preferred,GBP,98.38,0.875,245950,215206
trac,NO8105209,250000,TRAC,DNB Bank 5.125% 2031,DNB BANK ASA,NO,MTN,AA-,Tier 2,EUR,96.07,0.9,240175,216158
trac,NO8807312,2500000,TRAC,DNB Bank 3.750% 2034,DNB BANK ASA,NO,FRN,BBB-,Snr Non-Pref,EUR,96.49,0.925,2412250,2231331
trac,NL5355144,1000000,TRAC,ING Groep 3.125% 2029,ING GROEP NV,NL,Bond,AA-,Snr Unsecured,EUR,98.97,0.95,989700,940215
trac,FR5424916,500000,TRAC,Credit Agricole 3.750% 2032,CREDIT AGRICOLE SA,FR,Bond,A,Covered,EUR,99.56,0.9,497800,448020
trac,NL5221034,500000,TRAC,Ahold Delhaize 4.000% 2032,KONINKLIJKE AHOLD NV,NL,Bond,A,Snr Preferred,EUR,101.54,0.98,507700,497546
trac,US4044547,1000000,TRAC,Morgan Stanley 4.500% 2028,MORGAN STANLEY,US,FRN,AA-,Snr Preferred,USD,101.02,0.925,1010200,934435
trac,DE2995908,1000000,TRAC,Deutsche Bank 4.500% 2028,DEUTSCHE BANK AG,DE,MTN,A,Snr Non-Pref,EUR,104.7,0.85,1047000,889950
trac,FI3360332,2500000,TRAC,Nordea Bank 5.500% 2034,NORDEA BANK ABP,FI,Bond,BBB+,Snr Preferred,EUR,98.91,0.85,2472750,2101838
trac,IT9564139,5000000,TRAC,Enel 3.125% 2029,ENEL SPA,IT,FRN,BBB,Tier 2,EUR,97.04,0.95,4852000,4609400
trac,NL9485402,2500000,TRAC,ING Groep 3.125% 2031,ING GROEP NV,NL,FRN,BBB-,Snr Non-Pref,EUR,102.06,0.95,2551500,2423925
trac,IT3355076,2500000,TRAC,Enel 4.000% 2033,ENEL SPA,IT,FRN,BBB+,Snr Preferred,EUR,93.05,0.875,2326250,2035469
trac,SE4348578,5000000,TRAC,Handelsbanken 4.000% 2029,SVENSKA HANDELSBANKEN,SE,Bond,BBB-,Snr Unsecured,EUR,97.12,0.925,4856000,4491800
trac,DE3055658,250000,TRAC,Commerzbank 4.500% 2030,COMMERZBANK AG,DE,MTN,A,Snr Preferred,EUR,105.14,0.875,262850,229994
trac,US4756782,500000,TRAC,Bank of America 4.000% 2027,BANK OF AMERICA CORP,US,FRN,A-,Tier 2,USD,101.64,0.85,508200,431970
trac,US1384946,2500000,TRAC,JPMorgan 4.500% 2028,JPMORGAN CHASE & CO,US,Bond,A+,Snr Unsecured,USD,104.54,0.95,2613500,2482825
trac,IT1332266,1000000,TRAC,UniCredit 4.500% 2030,UNICREDIT SPA,IT,Bond,AA-,Covered,EUR,93.26,0.98,932600,913948
trac,US7703068,250000,TRAC,Morgan Stanley 4.500% 2027,MORGAN STANLEY,US,MTN,BBB+,Snr Unsecured,USD,103.24,0.95,258100,245195
trac,SE2242178,250000,TRAC,Handelsbanken 3.750% 2032,SVENSKA HANDELSBANKEN,SE,FRN,BBB-,Covered,EUR,105.31,0.925,263275,243529
trac,US6640430,250000,TRAC,Bank of America 5.500% 2027,BANK OF AMERICA CORP,US,FRN,AA-,Snr Non-Pref,USD,94.66,0.9,236650,212985
trac,US8273139,500000,TRAC,Bank of America 3.750% 2030,BANK OF AMERICA CORP,US,FRN,A-,Covered,USD,100.88,0.875,504400,441350
trac,XS7550632,2500000,TRAC,Barclays 4.500% 2033,BARCLAYS PLC,GB,Bond,A,Snr Unsecured,GBP,100.11,0.98,2502750,2452695
trac,NL5953643,2500000,TRAC,ING Groep 3.750% 2027,ING GROEP NV,NL,MTN,BBB+,Snr Non-Pref,EUR,101.38,0.9,2534500,2281050
trac,FI7123182,2500000,TRAC,Nordea Bank 5.125% 2034,NORDEA BANK ABP,FI,MTN,BBB+,Tier 2,EUR,106.87,0.9,2671750,2404575
trac,XS7702179,5000000,TRAC,Barclays 5.500% 2033,BARCLAYS PLC,GB,MTN,A,Snr Preferred,GBP,95.96,0.9,4798000,4318200
trac,FR2610531,2500000,TRAC,Societe Generale 4.500% 2033,SOCIETE GENERALE SA,FR,Bond,A-,Snr Non-Pref,EUR,95.05,0.925,2376250,2198031
trac,NO4481137,2500000,TRAC,DNB Bank 4.000% 2032,DNB BANK ASA,NO,Bond,A+,Snr Non-Pref,EUR,94.5,0.85,2362500,2008125
trac,SE7786735,1000000,TRAC,Handelsbanken 5.125% 2034,SVENSKA HANDELSBANKEN,SE,Bond,A,Snr Unsecured,EUR,104.21,0.875,1042100,911838
trac,US2055609,2500000,TRAC,Verizon 3.125% 2031,VERIZON COMMUNICATIONS,US,MTN,BBB,Tier 2,USD,103.72,0.98,2593000,2541140
