state,isin,qty,label,name,issuer,country,instr_type,rating,type,ccy,dirty_price,hc,mv_pre,mv
trac,US9412222,2500000,TRAC,Morgan Stanley 4.000% 2032,MORGAN STANLEY,US,Bond,AA-,Snr Unsecured,USD,93.93,0.925,2348250,2172131
trac,DE3229676,500000,TRAC,Allianz 5.125% 2033,ALLIANZ SE,DE,Bond,A,Snr Unsecured,EUR,102.75,0.95,513750,488062
trac,DE5930244,250000,TRAC,Allianz 4.500% 2033,ALLIANZ SE,DE,MTN,A-,Snr Unsecured,EUR,95.72,0.875,239300,209388
trac,FI3242950,2500000,TRAC,Nordea Bank 3.750% 2028,NORDEA BANK ABP,FI,Bond,BBB,Snr Unsecured,EUR,100.86,0.95,2521500,2395425
trac,US2468144,1000000,TRAC,Citigroup 5.125% 2034,CITIGROUP INC,US,FRN,A-,Snr Unsecured,USD,96.58,0.875,965800,845075
trac,US9885951,5000000,TRAC,Morgan Stanley 5.125% 2028,MORGAN STANLEY,US,FRN,BBB-,Snr Unsecured,USD,104.19,0.95,5209500,4949025
trac,SE7343487,1000000,TRAC,Handelsbanken 4.000% 2030,SVENSKA HANDELSBANKEN,SE,Bond,BBB-,Snr Non-Pref,EUR,105.95,0.85,1059500,900575
trac,XS3066988,500000,TRAC,HSBC Holdings 3.125% 2027,HSBC HOLDINGS PLC,GB,Bond,BBB+,Snr Preferred,GBP,93.1,0.98,465500,456190
trac,US1532196,1000000,TRAC,Goldman Sachs 4.000% 2027,GOLDMAN SACHS GROUP,US,Bond,BBB,Snr Unsecured,USD,100.99,0.95,1009900,959405
trac,IT6504282,250000,TRAC,Enel 4.000% 2034,ENEL SPA,IT,FRN,A-,Tier 2,EUR,97.85,0.875,244625,214047
trac,FR3513975,1000000,TRAC,Societe Generale 5.500% 2027,SOCIETE GENERALE SA,FR,Bond,BBB,Snr Preferred,EUR,101.59,0.85,1015900,863515
trac,FI3027719,2500000,TRAC,Nordea Bank 3.125% 2029,NORDEA BANK ABP,FI,MTN,BBB+,Snr Preferred,EUR,93.43,0.98,2335750,2289035
trac,NL2024312,5000000,TRAC,ING Groep 3.750% 2034,ING GROEP NV,NL,MTN,A+,Snr Preferred,EUR,101.3,0.875,5065000,4431875
trac,NO3177334,1000000,TRAC,DNB Bank 4.500% 2033,DNB BANK ASA,NO,MTN,AA-,Covered,EUR,99.43,0.925,994300,919728
trac,US6371045,500000,TRAC,Bank of America 4.000% 2032,BANK OF AMERICA CORP,US,FRN,A-,Tier 2,USD,103.72,0.98,518600,508228
trac,FR8617750,5000000,TRAC,Credit Agricole 4.500% 2031,CREDIT AGRICOLE SA,FR,MTN,AA-,Covered,EUR,99.68,0.95,4984000,4734800
trac,IT9092675,5000000,TRAC,UniCredit 3.750% 2031,UNICREDIT SPA,IT,FRN,BBB-,Tier 2,EUR,103.44,0.9,5172000,4654800
trac,DE6328491,2500000,TRAC,Deutsche Bank 5.125% 2030,DEUTSCHE BANK AG,DE,MTN,A-,Snr Unsecured,EUR,93.81,0.95,2345250,2227988
trac,NL4345887,500000,TRAC,ING Groep 5.125% 2030,ING GROEP NV,NL,Bond,A+,Snr Non-Pref,EUR,103.02,0.9,515100,463590
trac,FR3064434,500000,TRAC,Societe Generale 5.500% 2033,SOCIETE GENERALE SA,FR,FRN,A-,Covered,EUR,94.56,0.95,472800,449160
trac,FR3194835,1000000,TRAC,Credit Agricole 5.500% 2030,CREDIT AGRICOLE SA,FR,FRN,AA-,Snr Preferred,EUR,95.33,0.875,953300,834138
trac,FI8276321,5000000,TRAC,Nordea Bank 4.000% 2029,NORDEA BANK ABP,FI,Bond,A+,Snr Unsecured,EUR,96.59,0.9,4829500,4346550
trac,SE6402783,1000000,TRAC,Handelsbanken 5.500% 2030,SVENSKA HANDELSBANKEN,SE,FRN,BBB,Snr Non-Pref,EUR,96.86,0.85,968600,823310
trac,US9652842,250000,TRAC,Bank of America 3.750% 2033,BANK OF AMERICA CORP,US,FRN,A+,Snr Unsecured,USD,106.29,0.9,265725,239152
trac,FR8590797,1000000,TRAC,Societe Generale 5.500% 2028,SOCIETE GENERALE SA,FR,FRN,BBB,Tier 2,EUR,95.78,0.95,957800,909910
trac,DE9327351,250000,TRAC,Commerzbank 5.125% 2030,COMMERZBANK AG,DE,FRN,AA-,Snr Preferred,EUR,97.17,0.875,242925,212559
trac,US2203025,2500000,TRAC,Bank of America 4.500% 2034,BANK OF AMERICA CORP,US,Bond,BBB-,Snr Unsecured,USD,101.01,0.9,2525250,2272725
trac,XS7830697,250000,TRAC,Barclays 3.125% 2034,BARCLAYS PLC,GB,MTN,A,Snr Non-Pref,GBP,102.96,0.95,257400,244530
trac,SE7468748,500000,TRAC,Handelsbanken 4.500% 2029,SVENSKA HANDELSBANKEN,SE,MTN,BBB+,Snr Preferred,EUR,106.59,0.9,532950,479655
trac,FR7074788,2500000,TRAC,BNP Paribas 4.000% 2028,BNP PARIBAS SA,FR,Bond,BBB-,Snr Preferred,EUR,102.73,0.925,2568250,2375631
trac,IT6338286,500000,TRAC,UniCredit 4.500% 2030,UNICREDIT SPA,IT,MTN,BBB,Snr Unsecured,EUR,94.6,0.925,473000,437525
trac,XS3991597,500000,TRAC,NatWest Group 5.125% 2029,NATWEST GROUP PLC,GB,Bond,AA-,Snr Non-Pref,GBP,101.9,0.9,509500,458550
trac,DE9670622,500000,TRAC,Deutsche Bank 3.750% 2031,DEUTSCHE BANK AG,DE,Bond,AA-,Snr Non-Pref,EUR,101.19,0.925,505950,468004
trac,XS6187842,2500000,TRAC,NatWest Group 4.500% 2033,NATWEST GROUP PLC,GB,MTN,A,Snr Preferred,GBP,93.28,0.98,2332000,2285360
trac,NL2216828,500000,TRAC,ING Groep 5.500% 2028,ING GROEP NV,NL,Bond,BBB+,Snr Non-Pref,EUR,98.8,0.875,494000,432250
