state,isin,qty,label,name,issuer,country,instr_type,rating,type,ccy,dirty_price,hc,mv_pre,mv
trac,DE5123091,250000,TRAC,Commerzbank 4.000% 2027,COMMERZBANK AG,DE,FRN,BBB-,Snr Preferred,EUR,105.64,0.95,264100,250895
trac,DE7842077,1000000,TRAC,Allianz 5.125% 2033,ALLIANZ SE,DE,Bond,A,Snr Non-Pref,EUR,106.47,0.925,1064700,984848
trac,US4232266,250000,TRAC,Morgan Stanley 5.500% 2034,MORGAN STANLEY,US,Bond,AA-,Snr Preferred,USD,101.43,0.925,253575,234557
trac,US2939410,5000000,TRAC,Morgan Stanley 4.000% 2031,MORGAN STANLEY,US,FRN,BBB-,Covered,USD,103.07,0.875,5153500,4509312
trac,US4693601,500000,TRAC,Goldman Sachs 3.750% 2029,GOLDMAN SACHS GROUP,US,FRN,A+,Snr Non-Pref,USD,100.65,0.98,503250,493185
trac,CA7943323,250000,TRAC,Royal Bank of Canada 5.125% 2031,ROYAL BANK OF CANADA,CA,Bond,A+,Covered,USD,94.05,0.925,235125,217491
trac,SE9018132,1000000,TRAC,Handelsbanken 5.500% 2029,SVENSKA HANDELSBANKEN,SE,MTN,A+,Snr Preferred,EUR,96.12,0.98,961200,941976
trac,FR7032950,1000000,TRAC,Credit Agricole 4.000% 2033,CREDIT AGRICOLE SA,FR,Bond,BBB,Snr Preferred,EUR,97.77,0.95,977700,928815
trac,NL9466774,2500000,TRAC,ING Groep 5.500% 2031,ING GROEP NV,NL,MTN,A+,Snr Preferred,EUR,105.78,0.95,2644500,2512275
trac,XS5788966,1000000,TRAC,NatWest Group 5.500% 2028,NATWEST GROUP PLC,GB,Bond,BBB-,Tier 2,GBP,102.46,0.9,1024600,922140
trac,US7638118,500000,TRAC,Morgan Stanley 3.125% 2030,MORGAN STANLEY,US,Bond,AA-,Snr Unsecured,USD,99.64,0.875,498200,435925
trac,FI6714639,2500000,TRAC,Nordea Bank 5.125% 2028,NORDEA BANK ABP,FI,FRN,A,Tier 2,EUR,97.96,0.85,2449000,2081650
trac,FR4427601,500000,TRAC,Credit Agricole 5.125% 2031,CREDIT AGRICOLE SA,FR,FRN,A+,Snr Unsecured,EUR,93.96,0.98,469800,460404
trac,US3381986,500000,TRAC,Verizon 4.500% 2029,VERIZON COMMUNICATIONS,US,Bond,BBB-,Tier 2,USD,95.47,0.9,477350,429615
trac,FR2452399,250000,TRAC,Societe Generale 4.500% 2034,SOCIETE GENERALE SA,FR,FRN,BBB+,Covered,EUR,96.4,0.98,241000,236180
trac,US5275739,500000,TRAC,Citigroup 5.500% 2033,CITIGROUP INC,US,MTN,BBB+,Covered,USD,97.63,0.85,488150,414928
trac,US2042323,2500000,TRAC,Morgan Stanley 4.500% 2032,MORGAN STANLEY,US,Bond,AA-,Snr Unsecured,USD,98.31,0.85,2457750,2089088
trac,US3988523,2500000,TRAC,Bank of America 4.000% 2028,BANK OF AMERICA CORP,US,Bond,BBB+,Snr Unsecured,USD,97.29,0.85,2432250,2067412
trac,IT6510260,250000,TRAC,Intesa Sanpaolo 5.125% 2031,INTESA SANPAOLO SPA,IT,MTN,BBB+,Covered,EUR,100.59,0.98,251475,246446
