isin,location,custodian,available_qty,reserved,settlement,counterparty
FR0123456,IT-MT-04,Monte Titoli,800000000,0,15-Aug-26,Natixis
FR0123456,US-DT-13,DTC,200000000,0,15-Aug-26,Natixis
XS3417766,LU-EC-06,Euroclear,20000000,0,15-Aug-26,Natixis
FR7318822,DE-CB-24,Clearstream,80000000,0,12-Aug-26,ING Wholesale
CA1485136,IT-MT-20,Monte Titoli,40000000,0,13-Aug-26,Morgan Stanley
CA1485136,DE-CB-05,Clearstream,20000000,0,15-Aug-26,BNP Paribas
ES9650542,LU-EC-05,Euroclear,16000000,0,13-Aug-26,ING Wholesale
ES9650542,FR-EC-05,Euroclear,16000000,0,14-Aug-26,DB Frankfurt
ES3095354,LU-EC-13,Euroclear,4000000,0,12-Aug-26,ING Wholesale
ES3095354,DE-CB-20,Clearstream,16000000,0,12-Aug-26,Morgan Stanley
US6412488,LU-EC-14,Euroclear,2000000,0,12-Aug-26,BNP Paribas
DE8330980,IT-MT-01,Monte Titoli,10000000,0,16-Aug-26,ING Wholesale
IT3213899,DE-CB-23,Clearstream,8000000,0,16-Aug-26,ING Wholesale
IT3213899,DE-CB-09,Clearstream,16000000,0,14-Aug-26,JPM Securities
IT3213899,IT-MT-23,Monte Titoli,8000000,0,12-Aug-26,ING Wholesale
US3841913,US-DT-05,DTC,40000000,0,12-Aug-26,Citi London
NL6715840,US-DT-20,DTC,10000000,0,16-Aug-26,SG Corp & Inv
NL6715840,IT-MT-16,Monte Titoli,10000000,0,14-Aug-26,BNP Paribas
NL6715840,DE-CB-15,Clearstream,40000000,0,16-Aug-26,Natixis
XS0014578,LU-EC-13,Euroclear,800000,100000,13-Aug-26,BNP Paribas
US1242356,IT-MT-06,Monte Titoli,400000,100000,16-Aug-26,Citi London
FR2141820,ES-IB-08,Iberclear,16000000,0,12-Aug-26,Morgan Stanley
FR2141820,FR-EC-06,Euroclear,4000000,0,14-Aug-26,Citi London
FR2141820,LU-EC-23,Euroclear,16000000,0,12-Aug-26,JPM Securities
US3119114,US-DT-10,DTC,80000000,0,15-Aug-26,JPM Securities
US3119114,LU-EC-13,Euroclear,10000000,0,15-Aug-26,Morgan Stanley
US3119114,FR-EC-10,Euroclear,10000000,0,16-Aug-26,ING Wholesale
DE6519072,FR-EC-19,Euroclear,10000000,0,12-Aug-26,SG Corp & Inv
NL6208709,LU-EC-02,Euroclear,40000000,0,16-Aug-26,Citi London
NL6208709,DE-CB-09,Clearstream,10000000,0,13-Aug-26,JPM Securities
NL6208709,LU-EC-17,Euroclear,10000000,0,12-Aug-26,Citi London
US3750380,FR-EC-13,Euroclear,40000000,0,13-Aug-26,ING Wholesale
US3750380,LU-EC-14,Euroclear,40000000,0,15-Aug-26,BNP Paribas
NO6966742,IT-MT-07,Monte Titoli,2000000,0,14-Aug-26,Citi London
NO6966742,LU-EC-17,Euroclear,2000000,0,14-Aug-26,DB Frankfurt
NO6966742,IT-MT-03,Monte Titoli,16000000,0,15-Aug-26,ING Wholesale
CA2707565,ES-IB-01,Iberclear,16000000,0,14-Aug-26,BNP Paribas
ES6603383,IT-MT-14,Monte Titoli,10000000,0,12-Aug-26,JPM Securities
DE6649621,FR-EC-04,Euroclear,40000000,0,13-Aug-26,Citi London
US8346796,LU-EC-09,Euroclear,40000000,0,15-Aug-26,BNP Paribas
US8346796,US-DT-21,DTC,40000000,0,16-Aug-26,Natixis
US4892218,US-DT-08,DTC,80000000,0,16-Aug-26,ING Wholesale
US4892218,LU-EC-04,Euroclear,10000000,0,14-Aug-26,Citi London
DE6800061,IT-MT-18,Monte Titoli,80000000,0,12-Aug-26,Morgan Stanley
DE6800061,IT-MT-02,Monte Titoli,40000000,0,14-Aug-26,BNP Paribas
FI7473388,US-DT-21,DTC,80000000,0,15-Aug-26,Citi London
US5644587,DE-CB-02,Clearstream,1000000,0,13-Aug-26,Morgan Stanley
US5644587,LU-EC-18,Euroclear,1000000,0,13-Aug-26,Natixis
US5644587,US-DT-15,DTC,500000,0,15-Aug-26,BNP Paribas
US9048888,IT-MT-19,Monte Titoli,5000000,0,15-Aug-26,ING Wholesale
XS8954458,US-DT-03,DTC,16000000,0,13-Aug-26,Citi London
XS8954458,FR-EC-23,Euroclear,4000000,0,15-Aug-26,Morgan Stanley
XS8954458,LU-EC-09,Euroclear,16000000,0,13-Aug-26,Natixis
XS2511084,IT-MT-15,Monte Titoli,40000000,0,12-Aug-26,BNP Paribas
XS2511084,LU-EC-17,Euroclear,10000000,0,15-Aug-26,JPM Securities
XS2511084,ES-IB-08,Iberclear,20000000,0,16-Aug-26,ING Wholesale
DE8066408,LU-EC-04,Euroclear,10000000,0,13-Aug-26,JPM Securities
DE7687601,US-DT-22,DTC,20000000,0,13-Aug-26,Natixis
US6578759,DE-CB-15,Clearstream,8000000,0,15-Aug-26,Citi London
US6578759,IT-MT-15,Monte Titoli,16000000,0,12-Aug-26,SG Corp & Inv
XS1480204,US-DT-04,DTC,5000000,0,12-Aug-26,Citi London
XS1480204,US-DT-01,DTC,5000000,0,13-Aug-26,Citi London
XS1480204,ES-IB-10,Iberclear,10000000,0,16-Aug-26,JPM Securities
NL6177120,IT-MT-16,Monte Titoli,8000000,0,15-Aug-26,JPM Securities
NL6177120,FR-EC-06,Euroclear,1000000,0,12-Aug-26,SG Corp & Inv
US6033855,ES-IB-16,Iberclear,8000000,500000,14-Aug-26,SG Corp & Inv
US6033855,ES-IB-20,Iberclear,2000000,0,13-Aug-26,Morgan Stanley
US6033855,ES-IB-13,Iberclear,4000000,0,14-Aug-26,Citi London
NL9441910,US-DT-03,DTC,4000000,1000000,16-Aug-26,SG Corp & Inv
NL9441910,IT-MT-11,Monte Titoli,2000000,0,12-Aug-26,DB Frankfurt
DE9653446,US-DT-17,DTC,5000000,2500000,16-Aug-26,Morgan Stanley
FR7061676,ES-IB-21,Iberclear,16000000,1000000,15-Aug-26,Natixis
NL2615783,LU-EC-22,Euroclear,5000000,0,16-Aug-26,JPM Securities
NL2615783,IT-MT-15,Monte Titoli,10000000,0,12-Aug-26,BNP Paribas
NL2615783,US-DT-16,DTC,20000000,0,14-Aug-26,BNP Paribas
XS3421287,ES-IB-16,Iberclear,4000000,0,16-Aug-26,Morgan Stanley
NL1174773,LU-EC-08,Euroclear,8000000,0,16-Aug-26,DB Frankfurt
NL1174773,IT-MT-15,Monte Titoli,4000000,0,14-Aug-26,Morgan Stanley
NL1174773,DE-CB-08,Clearstream,2000000,0,13-Aug-26,SG Corp & Inv
XS9171686,DE-CB-18,Clearstream,1000000,0,16-Aug-26,JPM Securities
XS9171686,FR-EC-01,Euroclear,2000000,0,13-Aug-26,Natixis
NO8105209,US-DT-20,DTC,500000,0,14-Aug-26,Citi London
NO8105209,FR-EC-07,Euroclear,1000000,0,15-Aug-26,Natixis
NO8807312,US-DT-12,DTC,20000000,0,15-Aug-26,DB Frankfurt
NO8807312,FR-EC-04,Euroclear,5000000,0,14-Aug-26,BNP Paribas
NL5355144,FR-EC-18,Euroclear,2000000,0,13-Aug-26,BNP Paribas
FR5424916,US-DT-16,DTC,8000000,0,12-Aug-26,Natixis
NL5221034,US-DT-02,DTC,4000000,0,13-Aug-26,DB Frankfurt
US4044547,DE-CB-11,Clearstream,2000000,0,13-Aug-26,ING Wholesale
DE2995908,DE-CB-16,Clearstream,4000000,0,16-Aug-26,ING Wholesale
DE2995908,ES-IB-05,Iberclear,2000000,0,13-Aug-26,DB Frankfurt
FI3360332,DE-CB-06,Clearstream,40000000,0,13-Aug-26,JPM Securities
FI3360332,ES-IB-19,Iberclear,20000000,0,12-Aug-26,ING Wholesale
IT9564139,IT-MT-03,Monte Titoli,20000000,0,15-Aug-26,Morgan Stanley
NL9485402,IT-MT-16,Monte Titoli,20000000,0,16-Aug-26,Citi London
NL9485402,ES-IB-17,Iberclear,20000000,0,16-Aug-26,BNP Paribas
NL9485402,US-DT-18,DTC,10000000,0,13-Aug-26,ING Wholesale
IT3355076,IT-MT-09,Monte Titoli,20000000,0,14-Aug-26,ING Wholesale
SE4348578,IT-MT-23,Monte Titoli,20000000,0,12-Aug-26,Natixis
SE4348578,LU-EC-02,Euroclear,40000000,0,14-Aug-26,SG Corp & Inv
SE4348578,ES-IB-02,Iberclear,80000000,0,15-Aug-26,JPM Securities
DE3055658,FR-EC-11,Euroclear,1000000,0,14-Aug-26,ING Wholesale
DE3055658,ES-IB-12,Iberclear,500000,0,16-Aug-26,Citi London
US4756782,DE-CB-12,Clearstream,8000000,0,12-Aug-26,BNP Paribas
US4756782,FR-EC-10,Euroclear,2000000,0,15-Aug-26,Citi London
US1384946,FR-EC-15,Euroclear,10000000,0,15-Aug-26,SG Corp & Inv
US1384946,LU-EC-21,Euroclear,10000000,0,14-Aug-26,BNP Paribas
US1384946,DE-CB-18,Clearstream,10000000,0,12-Aug-26,DB Frankfurt
IT1332266,LU-EC-21,Euroclear,16000000,0,16-Aug-26,BNP Paribas
IT1332266,IT-MT-21,Monte Titoli,16000000,0,14-Aug-26,Natixis
IT1332266,LU-EC-23,Euroclear,2000000,0,15-Aug-26,Natixis
US7703068,ES-IB-04,Iberclear,500000,0,15-Aug-26,SG Corp & Inv
SE2242178,LU-EC-20,Euroclear,1000000,0,14-Aug-26,BNP Paribas
SE2242178,IT-MT-11,Monte Titoli,1000000,0,12-Aug-26,SG Corp & Inv
US6640430,LU-EC-17,Euroclear,4000000,0,13-Aug-26,Citi London
US6640430,IT-MT-18,Monte Titoli,500000,0,13-Aug-26,BNP Paribas
US8273139,US-DT-15,DTC,2000000,0,14-Aug-26,BNP Paribas
XS7550632,US-DT-02,DTC,5000000,0,14-Aug-26,Morgan Stanley
NL5953643,FR-EC-02,Euroclear,20000000,0,15-Aug-26,DB Frankfurt
NL5953643,FR-EC-22,Euroclear,10000000,0,13-Aug-26,Natixis
NL5953643,ES-IB-24,Iberclear,20000000,0,14-Aug-26,Citi London
FI7123182,DE-CB-02,Clearstream,40000000,0,13-Aug-26,BNP Paribas
FI7123182,US-DT-03,DTC,10000000,0,15-Aug-26,SG Corp & Inv
FI7123182,DE-CB-23,Clearstream,20000000,0,12-Aug-26,Citi London
XS7702179,DE-CB-13,Clearstream,10000000,0,13-Aug-26,JPM Securities
XS7702179,IT-MT-20,Monte Titoli,20000000,0,15-Aug-26,ING Wholesale
XS7702179,US-DT-17,DTC,10000000,0,12-Aug-26,DB Frankfurt
FR2610531,FR-EC-08,Euroclear,20000000,0,16-Aug-26,Natixis
FR2610531,IT-MT-05,Monte Titoli,10000000,0,14-Aug-26,SG Corp & Inv
FR2610531,US-DT-03,DTC,10000000,0,14-Aug-26,Morgan Stanley
NO4481137,IT-MT-19,Monte Titoli,5000000,0,13-Aug-26,JPM Securities
NO4481137,FR-EC-19,Euroclear,40000000,0,12-Aug-26,Natixis
NO4481137,IT-MT-17,Monte Titoli,40000000,0,14-Aug-26,DB Frankfurt
SE7786735,ES-IB-05,Iberclear,4000000,1000000,13-Aug-26,Natixis
SE7786735,ES-IB-20,Iberclear,8000000,0,14-Aug-26,SG Corp & Inv
US2055609,FR-EC-22,Euroclear,5000000,2500000,16-Aug-26,ING Wholesale
US2055609,LU-EC-23,Euroclear,40000000,0,14-Aug-26,Natixis
US2055609,US-DT-07,DTC,10000000,0,14-Aug-26,DB Frankfurt
NL3623987,FR-EC-18,Euroclear,2000000,500000,16-Aug-26,ING Wholesale
NL3623987,ES-IB-16,Iberclear,1000000,0,14-Aug-26,Natixis
US9412222,ES-IB-08,Iberclear,5000000,0,16-Aug-26,Morgan Stanley
DE3229676,ES-IB-10,Iberclear,4000000,0,14-Aug-26,ING Wholesale
DE3229676,IT-MT-16,Monte Titoli,4000000,0,13-Aug-26,SG Corp & Inv
DE3229676,DE-CB-02,Clearstream,4000000,0,16-Aug-26,JPM Securities
DE5930244,FR-EC-05,Euroclear,2000000,0,14-Aug-26,ING Wholesale
FI3242950,DE-CB-12,Clearstream,10000000,0,12-Aug-26,Citi London
FI3242950,FR-EC-07,Euroclear,40000000,0,12-Aug-26,DB Frankfurt
US2468144,US-DT-16,DTC,4000000,0,12-Aug-26,SG Corp & Inv
US2468144,FR-EC-24,Euroclear,16000000,0,12-Aug-26,ING Wholesale
US9885951,IT-MT-22,Monte Titoli,10000000,0,13-Aug-26,BNP Paribas
